,Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
34,04.1a–c,True,True,False,35,706,The American Wing,1904,Vase,The Adams Vase,American,,,,,108316253,Designer|Manufacturer,Designed by|Manufactured by,Paulding Farnham|Tiffany & Co.,1859–1927|1837–present, | ,"Farnham, Paulding|Tiffany & Co.",American| ,1859      |1837      ,1927      |9999      ,|,http://vocab.getty.edu/page/ulan/500336597|http://vocab.getty.edu/page/ulan/500330306,https://www.wikidata.org/wiki/Q13476260|https://www.wikidata.org/wiki/Q1066858,1893–95,1893,1895,"Gold, amethysts, spessartites, tourmalines, fresh water pearls, quartzes, rock crystal, and enamel","Overall: 19 7/16 x 13 x 9 1/4 in. (49.4 x 33 x 23.5 cm); 352 oz. 18 dwt. (10977 g)
Body: H. 18 7/8 in. (47.9 cm)
Cover: 4 1/4 x 4 13/16 in. (10.8 x 12.2 cm); 19 oz. 6 dwt. (600.1 g)","Gift of Edward D. Adams, 1904",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/35,https://www.wikidata.org/wiki/Q83545838,,"Metropolitan Museum of Art, New York, NY",Animals|Garlands|Birds|Men,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300167386|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q756600|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441
41,60.58.1,False,False,True,42,724,The American Wing,1960,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",30 7/8 x 25 x 13 7/8 in. (78.4 x 63.5 x 35.2 cm),"Sansbury-Mills Fund, 1960",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/42,https://www.wikidata.org/wiki/Q116373725,,"Metropolitan Museum of Art, New York, NY",,,
42,60.58.2,False,False,True,43,724,The American Wing,1960,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",30 7/8 x 25 x 13 7/8 in. (78.4 x 63.5 x 35.2 cm),"Sansbury-Mills Fund, 1960",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/43,https://www.wikidata.org/wiki/Q116373726,,"Metropolitan Museum of Art, New York, NY",,,
59,23.80.14,False,False,True,64,728,The American Wing,1923,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",25 1/4 x 21 1/2 x 13 1/2 in. (64.1 x 54.6 x 34.3 cm),"Gift of Mr. and Mrs. William A. Moore, 1923",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/64,https://www.wikidata.org/wiki/Q116373708,,"Metropolitan Museum of Art, New York, NY",,,
60,23.80.15,False,False,True,65,728,The American Wing,1923,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1810,1795,1810,"Brass, iron",25 1/4 x 21 1/2 x 13 1/2 in. (64.1 x 54.6 x 34.3 cm),"Gift of Mr. and Mrs. William A. Moore, 1923",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/65,https://www.wikidata.org/wiki/Q116373709,,"Metropolitan Museum of Art, New York, NY",,,
73,39.184.46,False,False,True,80,718,The American Wing,1939,Andiron,Andiron,,,,,,,,,,,,,,,,,,,1760–80,1760,1780,"Brass, iron",25 1/2 x 22 1/4 x 13 1/2 in. (64.8 x 56.5 x 34.3 cm),"Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/80,https://www.wikidata.org/wiki/Q116373699,,"Metropolitan Museum of Art, New York, NY",,,
83,46.67.126,False,False,True,92,729,The American Wing,1946,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1815,1795,1815,"Brass, iron",23 1/4 x 23 1/2 in. (59.1 x 59.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/92,https://www.wikidata.org/wiki/Q116234887,,"Metropolitan Museum of Art, New York, NY",Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113
84,46.67.127,False,False,True,93,729,The American Wing,1946,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,1795–1815,1795,1815,"Brass, iron",23 1/4 x 23 1/2 in. (59.1 x 59.7 cm),"Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/93,https://www.wikidata.org/wiki/Q116373683,,"Metropolitan Museum of Art, New York, NY",Birds,http://vocab.getty.edu/page/aat/300266506,https://www.wikidata.org/wiki/Q5113
97,1984.134.1,False,False,True,106,774,The American Wing,1984,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,ca. 1800,1797,1800,Brass,H. 22 1/2 in. (57.2 cm); Diam. 29 in. (73.7 cm),"Friends of the American Wing Fund, 1984",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/106,https://www.wikidata.org/wiki/Q116373672,,"Metropolitan Museum of Art, New York, NY",,,
98,1984.134.2,False,False,True,107,774,The American Wing,1984,Andiron,Andiron,American,,,,,,,,,,,,,,,,,,ca. 1800,1797,1800,Brass,H. 22 1/2 in. (57.2 cm); Diam. 29 in. (73.7 cm),"Friends of the American Wing Fund, 1984",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/107,https://www.wikidata.org/wiki/Q116373673,,"Metropolitan Museum of Art, New York, NY",,,
99,1989.120.1,False,False,True,108,774,The American Wing,1989,Andiron,Andiron,American,,,,,16605,Maker, ,John Bailey,"American, active New York, 1736–1815", ,"Bailey, John",American,1736      ,1815      ,,http://vocab.getty.edu/page/ulan/500524521,,1792–1814,1792,1814,Brass and iron,16 1/8 x 10 x 14 7/8 in. (41 x 25.4 x 37.8 cm),"Purchase, Mr. and Mrs. George M. Kaufman Gift, 1989",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/108,https://www.wikidata.org/wiki/Q116373670,,"Metropolitan Museum of Art, New York, NY",,,
100,1989.120.2,False,False,True,109,774,The American Wing,1989,Andiron,Andiron,American,,,,,16605,Maker, ,John Bailey,"American, active New York, 1736–1815", ,"Bailey, John",American,1736      ,1815      ,,http://vocab.getty.edu/page/ulan/500524521,,1792–1814,1792,1814,Brass and iron,16 1/8 x 10 x 14 7/8 in. (41 x 25.4 x 37.8 cm),"Purchase, Mr. and Mrs. George M. Kaufman Gift, 1989",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/109,https://www.wikidata.org/wiki/Q116373671,,"Metropolitan Museum of Art, New York, NY",,,
111,68.69.17,False,False,False,120,774,The American Wing,1968,Andiron,Andiron,American,,,,,16254216254,Designer|Maker,Designed by| ,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902", | ,"Tiffany, Louis C.|Tiffany Glass and Decorating Company",American|American,1848      |1892      ,1933      |1902      ,|,http://vocab.getty.edu/page/ulan/500030415|http://vocab.getty.edu/page/ulan/500331512,https://www.wikidata.org/wiki/Q312950|,1894,1894,1894,"Bronze, glass, iron",25 x 15 x 35 in. (63.5 x 38.1 x 88.9 cm),"Gift of Mrs. D. Chester Noyes, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/120,https://www.wikidata.org/wiki/Q116373646,,"Metropolitan Museum of Art, New York, NY",,,
112,68.69.18,False,False,False,121,774,The American Wing,1968,Andiron,Andiron,American,,,,,16254216254,Designer|Maker,Designed by| ,Louis C. Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902", | ,"Tiffany, Louis C.|Tiffany Glass and Decorating Company",American|American,1848      |1892      ,1933      |1902      ,|,http://vocab.getty.edu/page/ulan/500030415|http://vocab.getty.edu/page/ulan/500331512,https://www.wikidata.org/wiki/Q312950|,1894,1894,1894,"Bronze, glass, iron",25 x 15 x 35 in. (63.5 x 38.1 x 88.9 cm),"Gift of Mrs. D. Chester Noyes, 1968",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/121,https://www.wikidata.org/wiki/Q116373648,,"Metropolitan Museum of Art, New York, NY",,,
113,64.291.1,False,False,True,122,774,The American Wing,1964,Andiron,Andiron,American,,,,,109,Maker, ,Richard Wittingham,active before 1795–ca. 1818, ,"Wittingham, Richard",American,1794      ,1818      ,,,,ca. 1800,1797,1800,Brass,22 5/8 x 10 3/4 x 20 1/2 in. (57.5 x 27.3 x 52.1 cm),"Gift of Gertrude Moira Flanagan, 1964",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/122,https://www.wikidata.org/wiki/Q116373634,,"Metropolitan Museum of Art, New York, NY",,,
114,64.291.2,False,False,True,123,774,The American Wing,1964,Andiron,Andiron,American,,,,,109,Maker, ,Richard Wittingham,active before 1795–ca. 1818, ,"Wittingham, Richard",American,1794      ,1818      ,,,,ca. 1800,1797,1800,Brass,22 5/8 x 10 3/4 x 20 1/2 in. (57.5 x 27.3 x 52.1 cm),"Gift of Gertrude Moira Flanagan, 1964",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/123,https://www.wikidata.org/wiki/Q116373636,,"Metropolitan Museum of Art, New York, NY",,,
158,31.44.9,False,False,True,189,774,The American Wing,1931,Armchair,Armchair,American,,,,,,,,,,,,,,,,,,1795–1800,1795,1800,"Mahogany, ash, tulip poplar, maple",38 3/4 x 21 1/2 x 18 in. (98.4 x 54.6 x 45.7 cm),"The Sylmaris Collection, Gift of George Coe Graves, 1931",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/189,https://www.wikidata.org/wiki/Q116373610,,"Metropolitan Museum of Art, New York, NY",,,
162,41.111,False,True,True,193,712,The American Wing,1941,Armchair,Turned armchair,American,,,,,,,,,,,,,,,,,,1665–90,1665,1690,Ash,39 1/2 x 24 x 17 in. (100.3 x 61 x 43.2 cm),"Rogers Fund, 1941",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/193,https://www.wikidata.org/wiki/Q83545839,,"Metropolitan Museum of Art, New York, NY",,,
172,2006.90.1,False,False,True,205,706,The American Wing,2006,Teapot,Teapot,American,,,,,110,Maker, ,Wood and Hughes,1845–99, ,Wood and Hughes ,American,1845      ,1899      ,,,,1862–63,1862,1863,Silver,11 1/4 x 9 15/16 in. (28.6 x 25.2 cm),"Friends of the American Wing Fund, 2006",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/205,https://www.wikidata.org/wiki/Q116373607,,"Metropolitan Museum of Art, New York, NY",Factories|Men,http://vocab.getty.edu/page/aat/300006232|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q83405|https://www.wikidata.org/wiki/Q8441
179,1986.204,True,True,True,214,736,The American Wing,1986,Armchair,Armchair,American,,,,,345,Maker,Possibly,Gustave Herter,1830–1898, ,"Herter, Gustave","German (Stuttgart, principality of Württemberg)",1830      ,1898      ,,http://vocab.getty.edu/page/ulan/500088027,https://www.wikidata.org/wiki/Q1556712,ca. 1855,1852,1858,"Walnut, original leather, modern velvet cushion",64 1/2 x 25 3/8 x 22 1/4 in. (163.8 x 64.5 x 56.5 cm),"Friends of the American Wing Fund, 1986",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/214,https://www.wikidata.org/wiki/Q83560001,,"Metropolitan Museum of Art, New York, NY",,,
