,Artist,Count(*)
0,Various,20
1,Pierre Henry,7
2,Elliott Carter,7
3,Anthony Braxton,7
4,Mad Professor,6
5,R.L. Burnside,5
6,Luc Ferrari,5
7,Yellowman,4
8,William S. Burroughs,4
9,Glen Campbell,4
10,François Bayle,4
11,Bernard Parmegiani,4
12,The Longines Symphonette,3
13,The Beatles,3
14,Snd,3
15,Ray Conniff And The Singers,3
16,Karlheinz Stockhausen,3
17,John Cage,3
18,Jah Shaka,3
19,Iannis Xenakis,3
20,Edgard Varèse,3
21,Andy Stott,3
22,Vote Robot,2
23,Vanessa Rossetto,2
24,Trevor Wishart,2
25,The Grateful Dead,2
26,Scientist,2
27,Robert Millis,2
28,Rashad Becker,2
29,Prince Far I & The Arabs,2
30,Pole,2
31,Pierre Schaeffer,2
32,Philip Glass,2
33,Percy Faith & His Orchestra,2
34,Miles Davis,2
35,Michel Redolfi,2
36,Mario Lanza,2
37,Mantovani,2
38,Keith Fullerton Whitman,2
39,Junior Kimbrough And The Soul Blues Boys,2
40,Junior Kimbrough,2
41,John Wiese,2
42,John Denver,2
43,Jack Jones,2
44,Helm (2),2
45,Guy Reibel,2
46,Grandpa Jones,2
47,Dolly Parton,2
48,David First,2
49,Charles Wuorinen,2
50,Beatriz Ferreyra,2
51,André Stordeur,2
52,André Kostelanetz,2
53,Alpha & Omega,2
54,Al Martino,2
55,Aaron Dilloway,2
56,Ákos Rózmann,1
57,Yabby You,1
58,Wolf Eyes / Sickness,1
59,Unknown Artist,1
60,Tucker Martine,1
61,Tovah Olson,1
62,Tony Mottola Joins Guitar Underground,1
63,Tobias Picker,1
64,Tim Hecker,1
65,The Tenses,1
66,The Tapes,1
67,The Locust,1
68,The Jelly Roll Kings,1
69,The Earwigs / Sonic Disorder,1
70,The Disciples (2),1
71,The Congos,1
72,The Broken Penis Orchestra,1
73,The Accüsed,1
74,Terry Riley,1
75,Talibam!,1
76,T-Model Ford,1
77,Sylvia Marlowe,1
78,Stripling Brothers,1
79,Steve Reich,1
80,Stereolab,1
81,"Stefan Wolpe / George Rochberg / Seymour Shifrin - Contemporary Chamber Ensemble, Arthur Weisberg, Jan DeGaetani",1
82,"Stefan Wolpe / George Rochberg / Jeff Jones (12) - Contemporary Chamber Ensemble, Arthur Weisberg, Phyllis Bryn-Julson, Jan DeGaetani",1
83,Stefan Wolpe,1
84,Squirrel Bait,1
85,Speculum Musicae - Peter Lieberson / Charles Wuorinen / Seymour Shifrin,1
86,Specs One,1
87,Son Of Earth,1
88,"Smegma, K.K. Rampage, Insect Joy, Ghost Moth",1
89,Sigha,1
90,Sergei Tcherepnin,1
91,Seattle Phonographers Union,1
92,Scuba Death,1
93,Scorpions,1
94,SIXES,1
95,Régis Renouard Larivière,1
96,Ruth Crawford Seeger / George Perle / Milton Babbitt - The Composers Quartet,1
97,Royal Trux,1
98,Roll The Dice Meets Pole,1
99,Roger Sessions / William Mayer,1
100,"Roger Sessions - Robert Helps / Charles Wuorinen - Paul Zukofsky, Charles Wuorinen",1
101,Roberto Gerhard / Peter Maxwell Davies,1
102,Roberto Gerhard,1
103,Robert Parris / George Rochberg / Charles Wuorinen,1
104,Robert Hall Lewis / George Perle,1
105,Robert Cahen,1
106,Rick Bishop,1
107,Richard Wernick / David John Boros,1
108,Richard Pryor,1
109,Richard Felciano,1
110,Ranie Burnette,1
111,"Randall Thompson / Seymour Shifrin / Elliott Carter - The University Of Michigan Chamber Choir, The University Of Michigan Symphony Orchestra, Thomas Hilbish",1
112,Ralph Shapey,1
113,RP Boo,1
114,Prince Far I,1
115,Pierre Schaeffer / Pierre Henry,1
116,"Pierre Boulez Conducts Orchestre Du Domaine Musical, Arnold Schoenberg / Jean-Claude Eloy / Henri Pousseur",1
117,"Pierre Boulez Conducts Edgard Varèse, New York Philharmonic",1
118,"Pierre Boulez / Olivier Messiaen / Charles Koechlin, Pierre Boulez Conducting/ Antal Dorati Conducting BBC Symphony Orchestra And BBC Symphony Chorus",1
119,Pierre Boulez / Karlheinz Stockhausen - Robert Craft,1
120,Pierre Boulez / BBC Symphony Orchestra,1
121,Pierre Boulez - Charles Rosen,1
122,Pierre Boulez - Alfons & Aloys Kontarsky,1
123,Pierre Boulez,1
124,Phil Julian,1
125,Peter Westergaard / George Balch Wilson / Richard Wilson (22),1
126,"Peter Maxwell Davies, Julius Eastman, Fires Of London",1
127,Perez Prado,1
128,Percy Faith And His Orchestra And Chorus,1
129,Paul Jones (2),1
130,"Parnassus (2), Stefan Wolpe / Mario Davidovsky / Charles Wuorinen / Erik Lundborg / David Olan",1
131,Parenthetical Girls,1
132,Panicsville,1
133,Oval,1
134,Otto Luening / Vladimir Ussachevsky,1
135,Otto Luening,1
136,Ornette Coleman,1
137,"Olivier Messiaen, Michel Béroff . Gervase de Peyer, Erich Gruenberg . William Pleeth",1
138,Olivier Messiaen,1
139,"Oliver Knussen, London Sinfonietta, The Nash Ensemble, Elaine Barry, Linda Hirst, Oliver Knussen",1
140,Noël Lee,1
141,Nicolas Collins,1
142,New War,1
143,Morton Subotnick,1
144,Mobb Deep,1
145,Mixed Band Philanthropist,1
146,"Milton Babbitt / T.J. Anderson / Richard Wernick, Contemporary Chamber Ensemble, Arthur Weisberg",1
147,Milton Babbitt / Mel Powell,1
148,Milton Babbitt / Fred Lerdahl,1
149,Milton Babbitt / Charles Wuorinen - The Fine Arts Quartet,1
150,"Milton Babbitt - American Composers Orchestra, Charles Wuorinen, Alan Feinberg · Parnassus (2), Anthony Korf, Judith Bettina",1
151,Mika Vainio / Kevin Drumm / Axel Dörner / Lucio Capece,1
152,Michèle Bokanowski,1
153,Merzbow & John Wiese,1
154,Matt Carlson,1
155,Mark Fell and Peter Rehberg,1
156,Mark Fell,1
157,"Mario Lanza, Sigmund Romberg",1
158,Marcus Schmickler,1
159,Mance Lipscomb,1
160,Man Parrish,1
161,"Luciano Berio - Cathy Berberian, Heinz Holliger - Juilliard Ensemble, Luciano Berio",1
162,Lou Harrison / Ben Weber / Lukas Foss / Ingolf Dahl,1
163,Lori Goldston,1
164,Lionel Marchetti,1
165,Linton Kwesi Johnson,1
166,Lightnin' Hopkins,1
167,Leonard Nimoy,1
168,"Leonard Bernstein, New York Philharmonic",1
169,"Leon Kirchner, Irving Fine",1
170,Leo Ornstein,1
171,Leo Küpper,1
172,Lejaren Hiller / Leonard Isaacson / Robert Baker (2),1
173,Lee Perry & Friends,1
174,Lee Gamble,1
175,Lars-Gunnar Bodin / Bengt Emil Johnson,1
176,Lambsbread (2),1
177,King Tubby Meets The Upsetter,1
178,Kassel Jaeger,1
179,Julianna Barwick & Ikue Mori,1
180,Josef Otto Mundigl,1
181,John Williams (7),1
182,John Wiese / Evan Parker,1
183,John Harbison / George Rochberg,1
184,John Fahey,1
185,"John Cage, Henri Pousseur, Milton Babbitt",1
186,John Cage Meets Sun Ra,1
187,John Cage / Lukas Foss,1
188,John Cage / Luciano Berio / Ilhan Mimaroglu,1
189,John Cage & Lejaren Hiller / Ben Johnston,1
190,Joe Harnell & His Orchestra,1
191,Joe Callicott,1
192,Jim O'Rourke,1
193,Jim Haynes,1
194,Jim Collier (3),1
195,Jeffrey Van,1
196,"Jean-Jacques Grünenwald / Jean Langlais /, Gaston Litaize /, Olivier Messiaen / Charles Tournemire / Louis Vierne, André Isoir / Jean-Claude Raynaud",1
197,Jean-Claude Risset,1
198,Jean Schwarz,1
199,Jason Crumer,1
200,Jarrell,1
201,"James Joyce read by Siobhan McKenna, E.G. Marshall",1
202,James Hoff,1
203,Jacob Druckman / Joseph Schwantner / John Harbison,1
204,Jaap Vink,1
205,Ivo Malec,1
206,Idil Biret - Pierre Boulez / Anton Webern,1
207,Iancu Dumitrescu,1
208,Horacio Vaggione,1
209,Honey (38),1
210,"Henry Cowell, Wallingford Riegger, John J. Becker, Ruth Crawford Seeger",1
211,Henri Pousseur,1
212,"Harvey Sollberger With Charles Wuorinen, Sophie Sollberger, Allen Blustine, Jeanne Benjamin",1
213,Harvey Sollberger / Yehudi Wyner,1
214,Halflings,1
215,Groupe De Recherches Musicales,1
216,Group Ongaku,1
217,Giuseppe Ielasi,1
218,Giorgio Moroder,1
219,Gerritt Wittmer And John Wiese,1
220,George Rochberg - The Concord String Quartet,1
221,George Rochberg,1
222,George Perle - Michael Boriskin,1
223,"George Crumb, Pierre Boulez, Lucia Dlugoszewski, Luciano Berio - Kurt Weill",1
224,Geoff Mullen,1
225,Gang Wizard / Algebrassiere,1
226,Gang Wizard,1
227,Frederick Judd,1
228,"Fred Myrow / Roger Reynolds, Contemporary Chamber Ensemble, Arthur Weisberg, Phyllis Bryn-Julson",1
229,Fred McDowell & Johnny Woods,1
230,Frank Chacksfield & His Orchestra,1
231,Francis Thorne / Richard Moryl,1
232,Francis Dhomont,1
233,Ezra Sims,1
234,Emptyset,1
235,Elmo Williams & Hezekiah Early,1
236,"Elliott Carter, Paul Jacobs (3)",1
237,"Elliott Carter, Milton Babbitt, Igor Stravinsky, Henry Brant",1
238,"Elliott Carter, Leon Kirchner / Ralph Kirkpatrick, Charles Rosen, Gustav Meier, Tossy Spivakovsky, Aldo Parisot",1
239,"Elliott Carter, Juilliard String Quartet",1
240,"Elliott Carter, Jacob Lateiner / Michael Colgrass, Boston Symphony Orchestra, Erich Leinsdorf",1
241,"Elliott Carter, Fires Of London, London Sinfonietta, Oliver Knussen, Martyn Hill",1
242,"Elliott Carter, Charles Rosen",1
243,"Elliott Carter / Zurich Radio Orchestra, Jacques-Louis Monod, Charles Rosen",1
244,"Elliott Carter / William Schuman, Leonard Bernstein, New York Philharmonic",1
245,"Elliott Carter / Henry Cowell / Wallingford Riegger, Howard Hanson, Eastman-Rochester Orchestra",1
246,Elliott Carter / Hans Werner Henze,1
247,Elliott Carter - The Walden String Quartet,1
248,Elliott Carter - The Composers Quartet,1
249,"Elliott Carter - New York Philharmonic, Pierre Boulez, Speculum Musicae, Richard Fitz, Susan Davenny Wyner",1
250,"Elliott Carter - Cincinnati Symphony Orchestra, Michael Gielen, Ursula Oppens",1
251,Edward M. Zajda,1
252,Edgardo Cantón,1
253,"Edgard Varèse, Los Angeles Philharmonic Orchestra, Zubin Mehta",1
254,Earth And Stone,1
255,Dylan Nyoukis,1
256,Dorian Quintet,1
