,Label,Count(*)
0,Nonesuch,28
1,Sub Rosa,19
2,"Recollection GRM, Editions Mego",18
3,"Composers Recordings, Inc.",13
4,Columbia Masterworks,13
5,Fat Possum Records,12
6,"Composers Recordings, Inc., Composers Recordings, Inc.",10
7,Recollection GRM,9
8,Creel Pone,9
9,Columbia,7
10,Arista,7
11,modern silence,6
12,RRRecords,6
13,"Pan (3), Pan (3)",6
14,New World Records,6
15,Pan (3),5
16,Editions Mego,5
17,Capitol Records,5
18,London Records,4
19,Karlrecords,4
20,"Fat Possum Records, Epitaph",4
21,Doxy,4
22,Composers Recordings Inc. (CRI),4
23,Candide,4
24,Turnabout,3
25,Snd,3
26,Pendu Sound Recordings,3
27,Modern Love,3
28,"Longines Symphonette Society, Longines Symphonette Society",3
29,Epic,3
30,"Ariwa, Ariwa",3
31,Ariwa,3
32,Warner Bros. Records,2
33,Transversales Disques,2
34,Shanachie,2
35,Scratch And Sniff Entertainment,2
36,"Recollection GRM, Editions Mego, INA-GRM",2
37,"RCA, RCA Victor",2
38,"RCA Victor Red Seal, RCA Victor Red Seal",2
39,RCA,2
40,Public Information,2
41,Pressure Sounds,2
42,Pole,2
43,Paradigm Discs,2
44,No Fun Productions,2
45,Kye,2
46,Jah Shaka Music,2
47,Ideologic Organ,2
48,Helen Scarsdale Agency,2
49,Greensleeves Records,2
50,Finnadar Records,2
51,"Fat Possum Records, Big Legal Mess Records",2
52,"Editions Mego, Editions Mego",2
53,Ecstatic Peace!,2
54,Dais Records,2
55,"Capitol Records, Capitol Records, Capitol Records",2
56,"Capitol Records, Capitol Records",2
57,Cacophonic,2
58,Angel Records,2
59,Alpha & Omega Records,2
60,All Disc,2
61,Acoustic Research,2
62,Abduction,2
63,4 Men With Beards,2
64,soultheft records,1
65,audioMER.,1
66,Young Americans,1
67,Wyncote,1
68,"Wharf Cat Records, Wharf Cat Records",1
69,Westminster Gold,1
70,Warp Records,1
71,"Warner Bros. Records, Warner Bros. Records",1
72,Vegas p,1
73,Unseen Worlds,1
74,Unrest Records,1
75,Unicorn-Kanchana,1
76,"Turnabout, Turnabout, Turnabout",1
77,Trojan Records,1
78,"Tradition Everest, Tradition Everest",1
79,Thrill Jockey,1
80,Teenage Teardrops,1
81,Table Of The Elements,1
