,Released,Count(*)
0,0,34
1,2012,27
2,2016,26
3,2013,23
4,2011,22
5,2014,18
6,1969,16
7,2009,12
8,2015,11
9,2010,11
10,1968,11
11,1983,10
12,1967,10
13,1996,9
14,1975,9
15,1974,9
16,1973,9
17,2007,8
18,1985,8
19,1978,8
20,1977,8
21,1976,8
22,2005,7
23,1970,7
24,2006,6
25,1980,6
26,1971,6
27,2008,5
28,2004,5
29,1982,5
30,1981,5
31,2018,4
32,2017,4
33,2003,4
34,1986,4
35,1984,4
36,1979,4
37,1966,4
38,1965,4
39,1972,3
40,1964,3
41,1962,3
42,1960,3
43,1958,3
44,2024,2
45,2023,2
46,2021,2
47,2020,2
48,2019,2
49,1999,2
50,1998,2
51,1997,2
52,1988,2
53,1987,2
54,1995,1
55,1994,1
56,1992,1
57,1990,1
58,1989,1
59,1963,1
60,1961,1
61,1956,1
